 time            v(vout)         v(vinf)         v(en)           i(L1)          
 0.00000000e+00 -1.47832267e-10 -2.59866531e-06  2.07959414e-02 -2.51314854e-13 
 1.00000000e-06 -1.47832267e-10 -2.59850980e-06  2.07959406e-02 -2.51299263e-13 
 2.00000000e-06 -1.47832266e-10 -2.59804669e-06  2.07959406e-02 -2.51252782e-13 
 3.00000000e-06 -1.47832264e-10 -2.59726886e-06  2.07959407e-02 -2.51173956e-13 
 4.00000000e-06 -1.47832262e-10 -2.59616844e-06  2.07959409e-02 -2.51062976e-13 
 5.00000000e-06 -1.47832258e-10 -2.59473367e-06  2.07959411e-02 -2.50918124e-13 
 6.00000000e-06 -1.47832254e-10 -2.59294839e-06  2.07959413e-02 -2.50737794e-13 
 7.00000000e-06 -1.47832248e-10 -2.59079168e-06  2.07959416e-02 -2.50520110e-13 
 8.00000000e-06 -1.47832241e-10 -2.58823751e-06  2.07959419e-02 -2.50262346e-13 
 9.00000000e-06 -1.47832233e-10 -2.58525437e-06  2.07959423e-02 -2.49960938e-13 
 1.00000000e-05 -1.47832224e-10 -2.58180487e-06  2.07959428e-02 -2.49612224e-13 
 1.10000000e-05 -1.47832212e-10 -2.57784515e-06  2.07959433e-02 -2.49212345e-13 
 1.20000000e-05 -1.47832199e-10 -2.57332434e-06  2.07959439e-02 -2.48755914e-13 
 1.30000000e-05 -1.47832184e-10 -2.56818381e-06  2.07959446e-02 -2.48236790e-13 
 1.40000000e-05 -1.47832166e-10 -2.56235641e-06  2.07959454e-02 -2.47648648e-13 
 1.50000000e-05 -1.47832146e-10 -2.55576549e-06  2.07959463e-02 -2.46982239e-13 
 1.60000000e-05 -1.47832123e-10 -2.54832386e-06  2.07959473e-02 -2.46230868e-13 
 1.70000000e-05 -1.47832097e-10 -2.53993263e-06  2.07959484e-02 -2.45384142e-13 
 1.80000000e-05 -1.47832067e-10 -2.53047978e-06  2.07959496e-02 -2.44428918e-13 
 1.90000000e-05 -1.47832033e-10 -2.51983865e-06  2.07959510e-02 -2.43354535e-13 
 2.00000000e-05 -1.47831995e-10 -2.50786618e-06  2.07959526e-02 -2.42145307e-13 
 2.10000000e-05 -1.47831951e-10 -2.49440096e-06  2.07959544e-02 -2.40785914e-13 
 2.20000000e-05 -1.47831902e-10 -2.47926096e-06  2.07959564e-02 -2.39256808e-13 
 2.30000000e-05 -1.47831846e-10 -2.46224105e-06  2.07959587e-02 -2.37537955e-13 
 2.40000000e-05 -1.47831783e-10 -2.44311016e-06  2.07959613e-02 -2.35606281e-13 
 2.50000000e-05 -1.47831712e-10 -2.42160811e-06  2.07959641e-02 -2.33434854e-13 
 2.60000000e-05 -1.47831631e-10 -2.39744193e-06  2.07959673e-02 -2.30994003e-13 
 2.70000000e-05 -1.47831541e-10 -2.37028126e-06  2.07959709e-02 -2.28250944e-13 
 2.80000000e-05 -1.47831438e-10 -2.33975460e-06  2.07959750e-02 -2.25167966e-13 
 2.90000000e-05 -1.47831323e-10 -2.30544473e-06  2.07959796e-02 -2.21703428e-13 
 3.00000000e-05 -1.47831193e-10 -2.26688243e-06  2.07959847e-02 -2.17809124e-13 
 3.10000000e-05 -1.47831047e-10 -2.22353983e-06  2.07959905e-02 -2.13431877e-13 
 3.20000000e-05 -1.47830882e-10 -2.17482300e-06  2.07959970e-02 -2.08512495e-13 
 3.30000000e-05 -1.47830696e-10 -2.12006379e-06  2.07960042e-02 -2.02981943e-13 
 3.40000000e-05 -1.47830487e-10 -2.05851067e-06  2.07960124e-02 -1.96766087e-13 
 3.50000000e-05 -1.47830252e-10 -1.98931829e-06  2.07960216e-02 -1.89778454e-13 
 3.60000000e-05 -1.47829987e-10 -1.91153589e-06  2.07960320e-02 -1.81923283e-13 
 3.70000000e-05 -1.47829689e-10 -1.82409424e-06  2.07960436e-02 -1.73092649e-13 
 3.80000000e-05 -1.47829354e-10 -1.72579080e-06  2.07960567e-02 -1.63165320e-13 
 3.90000000e-05 -1.47828977e-10 -1.61527326e-06  2.07960714e-02 -1.52004269e-13 
 4.00000000e-05 -1.47828552e-10 -1.49102087e-06  2.07960879e-02 -1.39456775e-13 
 4.10000000e-05 -1.47828075e-10 -1.35132345e-06  2.07961065e-02 -1.25348620e-13 
 4.20000000e-05 -1.47827537e-10 -1.19425791e-06  2.07961274e-02 -1.09487282e-13 
 4.30000000e-05 -1.47826933e-10 -1.01766171e-06  2.07961509e-02 -9.16524818e-14 
 4.40000000e-05 -1.47826253e-10 -8.19103140e-07  2.07961773e-02 -7.16010380e-14 
 4.50000000e-05 -1.47825489e-10 -5.95847793e-07  2.07962070e-02 -4.90554534e-14 
 4.60000000e-05 -1.47824629e-10 -3.44820992e-07  2.07962404e-02 -2.37038738e-14 
 4.70000000e-05 -1.47823662e-10 -6.25654804e-08  2.07962780e-02  4.79999764e-15 
 4.80000000e-05 -1.47822574e-10  2.54806103e-07  2.07963202e-02  3.68505801e-14 
 4.90000000e-05 -1.47821350e-10  6.11664648e-07  2.07963677e-02  7.28888010e-14 
 5.00000000e-05 -1.47819975e-10  1.01292460e-06  2.07964211e-02  1.13411236e-13 
 5.10000000e-05 -1.47818427e-10  1.46411143e-06  2.07964811e-02  1.58976467e-13 
 5.20000000e-05 -1.47816687e-10  1.97143743e-06  2.07965486e-02  2.10209722e-13 
 5.30000000e-05 -1.47814730e-10  2.54188686e-06  2.07966245e-02  2.67818174e-13 
 5.40000000e-05 -1.47812529e-10  3.18331163e-06  2.07967099e-02  3.32594022e-13 
 5.50000000e-05 -1.47810054e-10  3.90453876e-06  2.07968058e-02  4.05429071e-13 
 5.60000000e-05 -1.47807271e-10  4.71549102e-06  2.07969137e-02  4.87325603e-13 
 5.70000000e-05 -1.47804142e-10  5.62732245e-06  2.07970351e-02  5.79409059e-13 
 5.80000000e-05 -1.47800622e-10  6.65257048e-06  2.07971715e-02  6.82947232e-13 
 5.90000000e-05 -1.47796665e-10  7.80532663e-06  2.07973249e-02  7.99361287e-13 
 6.00000000e-05 -1.47792216e-10  9.10142814e-06  2.07974973e-02  9.30252334e-13 
 6.10000000e-05 -1.47787212e-10  1.05586729e-05  2.07976912e-02  1.07741555e-12 
 6.20000000e-05 -1.47781587e-10  1.21970603e-05  2.07979092e-02  1.24287307e-12 
 6.30000000e-05 -1.47775262e-10  1.40390620e-05  2.07981543e-02  1.42889307e-12 
 6.40000000e-05 -1.47768150e-10  1.61099240e-05  2.07984298e-02  1.63802546e-12 
 6.50000000e-05 -1.47760154e-10  1.84380064e-05  2.07987396e-02  1.87313287e-12 
 6.60000000e-05 -1.47751165e-10  2.10551634e-05  2.07990878e-02  2.13743436e-12 
 6.70000000e-05 -1.47741059e-10  2.39971678e-05  2.07994793e-02  2.43454092e-12 
 6.80000000e-05 -1.47729698e-10  2.73041868e-05  2.07999193e-02  2.76850979e-12 
 6.90000000e-05 -1.47716926e-10  3.10213131e-05  2.08004139e-02  3.14389402e-12 
 7.00000000e-05 -1.47702570e-10  3.51991584e-05  2.08009698e-02  3.56580576e-12 
 7.10000000e-05 -1.47686433e-10  3.98945147e-05  2.08015945e-02  4.03998079e-12 
 7.20000000e-05 -1.47668296e-10  4.51710931e-05  2.08022966e-02  4.57285156e-12 
 7.30000000e-05 -1.47647913e-10  5.11003441e-05  2.08030855e-02  5.17163432e-12 
 7.40000000e-05 -1.47625006e-10  5.77623717e-05  2.08039719e-02  5.84441835e-12 
 7.50000000e-05 -1.47599266e-10  6.52469471e-05  2.08049678e-02  6.60027123e-12 
 7.60000000e-05 -1.47570344e-10  7.36546329e-05  2.08060865e-02  7.44934576e-12 
 7.70000000e-05 -1.47537852e-10  8.30980265e-05  2.08073430e-02  8.40301608e-12 
 7.80000000e-05 -1.47501352e-10  9.37031338e-05  2.08087541e-02  9.47400527e-12 
 7.90000000e-05 -1.47460356e-10  1.05610881e-04  2.08103385e-02  1.06765457e-11 
 8.00000000e-05 -1.47414317e-10  1.18978776e-04  2.08121173e-02  1.20265438e-11 
 8.10000000e-05 -1.47362623e-10  1.33982727e-04  2.08141137e-02  1.35417657e-11 
 8.20000000e-05 -1.47304590e-10  1.50819027e-04  2.08163539e-02  1.52420336e-11 
 8.30000000e-05 -1.47239455e-10  1.69706510e-04  2.08188671e-02  1.71494467e-11 
 8.40000000e-05 -1.47166366e-10  1.90888883e-04  2.08216856e-02  1.92886183e-11 
 8.50000000e-05 -1.47084372e-10  2.14637230e-04  2.08248456e-02  2.16869243e-11 
 8.60000000e-05 -1.46992416e-10  2.41252692e-04  2.08283871e-02  2.43747784e-11 
 8.70000000e-05 -1.46889321e-10  2.71069311e-04  2.08323546e-02  2.73859139e-11 
 8.80000000e-05 -1.46773778e-10  3.04457004e-04  2.08367972e-02  3.07576893e-11 
 8.90000000e-05 -1.46644338e-10  3.41824678e-04  2.08417696e-02  3.45314000e-11 
 9.00000000e-05 -1.46499393e-10  3.83623404e-04  2.08473315e-02  3.87526017e-11 
 9.10000000e-05 -1.46337166e-10  4.30349637e-04  2.08535492e-02  4.34714303e-11 
 9.20000000e-05 -1.46155697e-10  4.82548397e-04  2.08604952e-02  4.87429304e-11 
 9.30000000e-05 -1.45952826e-10  5.40816334e-04  2.08682490e-02  5.46273576e-11 
 9.40000000e-05 -1.45726182e-10  6.05804578e-04  2.08768970e-02  6.11904720e-11 
 9.50000000e-05 -1.45473165e-10  6.78221256e-04  2.08865338e-02  6.85037889e-11 
 9.60000000e-05 -1.45190937e-10  7.58833525e-04  2.08972613e-02  7.66447883e-11 
 9.70000000e-05 -1.44876404e-10  8.48468974e-04  2.09091898e-02  8.56970513e-11 
 9.80000000e-05 -1.44526212e-10  9.48016211e-04  2.09224376e-02  9.57503232e-11 
 9.90000000e-05 -1.44136731e-10  1.05842445e-03  2.09371310e-02  1.06900471e-10 
 1.00000000e-04 -1.43704055e-10  1.18070190e-03  2.09534044e-02  1.19249321e-10 
 1.01000000e-04 -1.43223996e-10  1.31591278e-03  2.09713995e-02  1.32904356e-10 
 1.02000000e-04 -1.42692084e-10  1.46517274e-03  2.09912649e-02  1.47978256e-10 
 1.03000000e-04 -1.42103577e-10  1.62964266e-03  2.10131552e-02  1.64588271e-10 
 1.04000000e-04 -1.41453467e-10  1.81052058e-03  2.10372301e-02  1.82855401e-10 
 1.05000000e-04 -1.40736498e-10  2.00903187e-03  2.10636529e-02  2.02903412e-10 
 1.06000000e-04 -1.39947189e-10  2.22641760e-03  2.10925889e-02  2.24857656e-10 
 1.07000000e-04 -1.39079859e-10  2.46392136e-03  2.11242039e-02  2.48843739e-10 
 1.08000000e-04 -1.38128657e-10  2.72277465e-03  2.11586622e-02  2.74986049e-10 
 1.09000000e-04 -1.37087605e-10  3.00418129e-03  2.11961242e-02  3.03406182e-10 
 1.10000000e-04 -1.35950634e-10  3.30930131e-03  2.12367447e-02  3.34221308e-10 
 1.11000000e-04 -1.34711628e-10  3.63923472e-03  2.12806705e-02  3.67542538e-10 
 1.12000000e-04 -1.33364472e-10  3.99500589e-03  2.13280382e-02  4.03473343e-10 
 1.13000000e-04 -1.31903093e-10  4.37754891e-03  2.13789727e-02  4.42108080e-10 
 1.14000000e-04 -1.30321509e-10  4.78769475e-03  2.14335849e-02  4.83530686e-10 
 1.15000000e-04 -1.28613864e-10  5.22616041e-03  2.14919706e-02  5.27813590e-10 
 1.16000000e-04 -1.26774472e-10  5.69354062e-03  2.15542094e-02  5.75016872e-10 
 1.17000000e-04 -1.24797846e-10  6.19030237e-03  2.16203639e-02  6.25187709e-10 
 1.18000000e-04 -1.22678723e-10  6.71678221e-03  2.16904792e-02  6.78360100e-10 
