 time                v(vout)             v(vinf)             v(en)               i(L1)              
 0.000000000000e+00  1.199915485131e+01  3.168797595783e-03 -1.151180476870e-04 -1.106007041597e-05 
 1.000000000000e-06  9.782770924031e+00  3.352498272801e-05  1.082322851360e+00 -3.361517871611e-01 
 2.000000000000e-06  1.101541423154e+01  1.042763545105e-05  1.424344911613e+00 -4.510616134565e-01 
 3.000000000000e-06  1.143256913966e+01  3.592996731570e-06  1.523036940915e+00 -5.127441141320e-01 
 4.000000000000e-06  1.156773206177e+01  1.447022809440e-06  1.557931829965e+00 -5.538150597667e-01 
 5.000000000000e-06  1.160944360032e+01  7.737940585243e-07  1.571653681647e+00 -5.857939197259e-01 
 6.000000000000e-06  1.162198415652e+01  5.534155112683e-07  1.578950250544e+00 -6.126824892334e-01 
 7.000000000000e-06  1.162430259292e+01  4.893167812287e-07  1.584098877676e+00 -6.355371739527e-01 
 8.000000000000e-06  1.162332490686e+01  4.753177905609e-07  1.588686262127e+00 -6.546429036943e-01 
 9.000000000000e-06  1.162133239823e+01  4.754751167438e-07  1.593181575884e+00 -6.700745628747e-01 
 1.000000000000e-05  1.161908881091e+01  4.786966073097e-07  1.597708203392e+00 -6.817861571400e-01 
 1.100000000000e-05  1.161682358988e+01  4.816364663752e-07  1.602284997144e+00 -6.897883636746e-01 
 1.200000000000e-05  1.161460615321e+01  4.833850164083e-07  1.606899219405e+00 -6.940741511264e-01 
 1.300000000000e-05  1.161246081312e+01  4.836955007679e-07  1.611528642354e+00 -6.946227529916e-01 
 1.400000000000e-05  1.161039500090e+01  4.825605150897e-07  1.616150059374e+00 -6.915495652483e-01 
 1.500000000000e-05  1.160841668940e+01  4.799562060292e-07  1.620738616518e+00 -6.848063612232e-01 
 1.600000000000e-05  1.160652754383e+01  4.759626809878e-07  1.625271522228e+00 -6.745681206181e-01 
 1.700000000000e-05  1.160473301366e+01  4.705933399471e-07  1.629724693136e+00 -6.608395896802e-01 
 1.800000000000e-05  1.160303544549e+01  4.639155967827e-07  1.634075008346e+00 -6.437543663107e-01 
 1.900000000000e-05  1.160143664733e+01  4.559977159369e-07  1.638301721099e+00 -6.234452667928e-01 
 2.000000000000e-05  1.159993921368e+01  4.468980040611e-07  1.642382282665e+00 -6.000277768689e-01 
