 time                v(vout)             v(vinf)             v(en)               i(L1)              
 0.000000000000e+00  5.104999561610e+00 -3.667488807583e-07  4.120632817368e-05 -6.037074536623e-07 
 1.000000000000e-06  5.073008144393e+00  9.130147864871e-03  2.998167797594e-02 -4.976637313225e-01 
 2.000000000000e-06  5.059673976737e+00  2.812640928844e-02  3.373478537828e-02 -9.879882382172e-01 
 3.000000000000e-06  5.045835780904e+00  5.051305525725e-02  3.814177628710e-02 -1.471136889010e+00 
 4.000000000000e-06  5.031448494212e+00  7.398637916843e-02  4.255543192853e-02 -1.946890413136e+00 
 5.000000000000e-06  5.016525368871e+00  9.764889570597e-02  4.624923506042e-02 -2.415214695266e+00 
 6.000000000000e-06  5.001077472587e+00  1.211784245774e-01  4.874267699096e-02 -2.876124869111e+00 
 7.000000000000e-06  4.985115308808e+00  1.444601742876e-01  5.033727419721e-02 -3.329653023814e+00 
 8.000000000000e-06  4.968649169136e+00  1.674537190856e-01  5.143008562929e-02 -3.775836787398e+00 
 9.000000000000e-06  4.951689235085e+00  1.901452818998e-01  5.223744805663e-02 -4.214715491405e+00 
 1.000000000000e-05  4.934245611435e+00  2.125306313925e-01  5.286839008755e-02 -4.646328979484e+00 
 1.100000000000e-05  4.916328335306e+00  2.346089567556e-01  5.338178993090e-02 -5.070717303459e+00 
 1.200000000000e-05  4.897947377356e+00  2.563806772601e-01  5.381210441251e-02 -5.487920696756e+00 
 1.300000000000e-05  4.879112640700e+00  2.778466610598e-01  5.418093196993e-02 -5.897979620369e+00 
 1.400000000000e-05  4.859833959374e+00  2.990079480452e-01  5.450258677457e-02 -6.300934816842e+00 
 1.500000000000e-05  4.840121096875e+00  3.198656525201e-01  5.478699272526e-02 -6.696827354897e+00 
 1.600000000000e-05  4.819983744909e+00  3.404209297076e-01  5.504128797207e-02 -7.085698662193e+00 
 1.700000000000e-05  4.799431522319e+00  3.606749646872e-01  5.527076570559e-02 -7.467590547798e+00 
 1.800000000000e-05  4.778473974186e+00  3.806289690493e-01  5.547945252173e-02 -7.842545216582e+00 
 1.900000000000e-05  4.757120571042e+00  4.002841800832e-01  5.567047858517e-02 -8.210605277527e+00 
 2.000000000000e-05  4.735380708191e+00  4.196418607018e-01  5.584632284496e-02 -8.571813747443e+00 
 2.100000000000e-05  4.713263705105e+00  4.387032995032e-01  5.600898038418e-02 -8.926214051224e+00 
 2.200000000000e-05  4.690778804874e+00  4.574698107858e-01  5.616007962296e-02 -9.273850019496e+00 
