 time                v(vout)             v(vinf)             v(en)               i(L1)              
 0.000000000000e+00  5.104714154706e+00  1.020134362789e-04 -3.141021123677e-05 -4.376415616342e-06 
 1.000000000000e-06  3.736688947113e+00  2.218364983062e+00  6.099475285696e-02 -1.913045665447e-01 
 2.000000000000e-06  3.824980549498e+00  2.400532745394e+00  6.120944544202e-02 -3.270197867468e-01 
 3.000000000000e-06  3.791286299682e+00  2.397631136081e+00  6.120605195992e-02 -4.561797482008e-01 
 4.000000000000e-06  3.740529090443e+00  2.367099804445e+00  6.117062609590e-02 -5.818630291316e-01 
 5.000000000000e-06  3.688554544190e+00  2.333835458409e+00  6.113147438922e-02 -7.046228319449e-01 
 6.000000000000e-06  3.637226890728e+00  2.300771807204e+00  6.109196675319e-02 -8.245800353105e-01 
 7.000000000000e-06  3.586737661318e+00  2.268222857502e+00  6.105247973036e-02 -9.418003749649e-01 
 8.000000000000e-06  3.537094451374e+00  2.236214135117e+00  6.101305528710e-02 -1.056340980074e+00 
 9.000000000000e-06  3.488285346222e+00  2.204740339151e+00  6.097369894392e-02 -1.168256125931e+00 
 1.000000000000e-05  3.440296571560e+00  2.173793015313e+00  6.093441228894e-02 -1.277598215343e+00 
 1.100000000000e-05  3.393114365584e+00  2.143363499281e+00  6.089519649105e-02 -1.384418115058e+00 
 1.200000000000e-05  3.346725173429e+00  2.113443228443e+00  6.085605268010e-02 -1.488765348180e+00 
 1.300000000000e-05  3.301115664045e+00  2.084023774119e+00  6.081698198891e-02 -1.590688225723e+00 
 1.400000000000e-05  3.256272728425e+00  2.055096843817e+00  6.077798555880e-02 -1.690233942754e+00 
 1.500000000000e-05  3.212183475975e+00  2.026654280100e+00  6.073906454087e-02 -1.787448651683e+00 
 1.600000000000e-05  3.168835230769e+00  1.998688058938e+00  6.070022009664e-02 -1.882377520050e+00 
 1.700000000000e-05  3.126215527893e+00  1.971190287920e+00  6.066145339831e-02 -1.975064777474e+00 
 1.800000000000e-05  3.084312109853e+00  1.944153204403e+00  6.062276562925e-02 -2.065553754795e+00 
 1.900000000000e-05  3.043112923065e+00  1.917569173615e+00  6.058415798426e-02 -2.153886917469e+00 
 2.000000000000e-05  3.002606114413e+00  1.891430686744e+00  6.054563166948e-02 -2.240105894628e+00 
 2.100000000000e-05  2.962780027875e+00  1.865730359022e+00  6.050718790287e-02 -2.324251504812e+00 
 2.200000000000e-05  2.923623201203e+00  1.840460927805e+00  6.046882791408e-02 -2.406363779100e+00 
 2.300000000000e-05  2.885124362671e+00  1.815615250673e+00  6.043055294461e-02 -2.486481982165e+00 
 2.400000000000e-05  2.847272427874e+00  1.791186303537e+00  6.039236424781e-02 -2.564644631661e+00 
 2.500000000000e-05  2.810056496591e+00  1.767167178767e+00  6.035426308902e-02 -2.640889516222e+00 
 2.600000000000e-05  2.773465849686e+00  1.743551083341e+00  6.031625074543e-02 -2.715253712337e+00 
 2.700000000000e-05  2.737489946081e+00  1.720331337016e+00  6.027832850621e-02 -2.787773600240e+00 
 2.800000000000e-05  2.702118419762e+00  1.697501370518e+00  6.024049767245e-02 -2.858484878989e+00 
 2.900000000000e-05  2.667341076848e+00  1.675054723766e+00  6.020275955713e-02 -2.927422580828e+00 
 3.000000000000e-05  2.633147892703e+00  1.652985044114e+00  6.016511548512e-02 -2.994621084934e+00 
 3.100000000000e-05  2.599529009094e+00  1.631286084616e+00  6.012756679307e-02 -3.060114130602e+00 
 3.200000000000e-05  2.566474731399e+00  1.609951702332e+00  6.009011482947e-02 -3.123934829955e+00 
 3.300000000000e-05  2.533975525863e+00  1.588975856638e+00  6.005276095458e-02 -3.186115680201e+00 
 3.400000000000e-05  2.502022016890e+00  1.568352607582e+00  6.001550654022e-02 -3.246688575500e+00 
 3.500000000000e-05  2.470604984390e+00  1.548076114256e+00  5.997835296988e-02 -3.305684818464e+00 
 3.600000000000e-05  2.439715361162e+00  1.528140633194e+00  5.994130163859e-02 -3.363135131310e+00 
 3.700000000000e-05  2.409344230320e+00  1.508540516801e+00  5.990435395281e-02 -3.419069666719e+00 
