Source_Designator,Parent,Source_Quantity,BOM_Group_ID,DNP,Selected_MPN
F110_HOLDER,F110,1,C268204,,0031.8201
F111_HOLDER,F111,1,C268204,,0031.8201
F113_HOLDER,F113,1,C268204,,0031.8201
F114_HOLDER,F114,1,C268204,,0031.8201
F115_HOLDER,F115,1,C268204,,0031.8201
F116_HOLDER,F116,1,C268204,,0031.8201
F103,F103,1,C142824,,0239003.MXP
F104,F104,1,C142824,,0239003.MXP
F105,F105,1,C142824,,0239003.MXP
F116,F116,1,C142824,,0239003.MXP
F106,F106,1,C5381754,,0215005.MXP
F107,F107,1,C5381754,,0215005.MXP
F108,F108,1,C5381754,,0215005.MXP
F109,F109,1,C5381754,,0215005.MXP
F110,F110,1,C5381754,,0215005.MXP
F111,F111,1,C5381754,,0215005.MXP
F113,F113,1,C5381754,,0215005.MXP
F112,F112,1,C3014110,,0680H7000-05
F114,F114,1,C2936126,,0217008.MXP
F115,F115,1,C5381743,,
J101,J101,1,C305801,,640445-7
J109,J109,1,C305801,,640445-7
J114,J114,1,C305801,,640445-7
J102,J102,1,C305802,,640445-9
J110,J110,1,C305802,,640445-9
J122,J122,1,C305802,,640445-9
J125,J125,1,C305802,,640445-9
J127,J127,1,C305802,,640445-9
J130,J130,1,C305802,,640445-9
J137,J137,1,C305802,,640445-9
J138,J138,1,C305802,,640445-9
J103,J103,1,C240824,,0026604040
J116,J116,1,C240824,,0026604040
J117,J117,1,C240824,,0026604040
J118,J118,1,C240824,,0026604040
J104,J104,1,C505166,,0026604050
J105,J105,1,C505166,,0026604050
J106,J106,1,C505166,,0026604050
J112,J112,1,C505166,,0026604050
J123,J123,1,C505166,,0026604050
J124,J124,1,C505166,,0026604050
J128,J128,1,C505166,,0026604050
J129,J129,1,C505166,,0026604050
J131,J131,1,C505166,,0026604050
J132,J132,1,C505166,,0026604050
J107,J107,1,C86500,,640445-6
J115,J115,2,C86500,,640445-6
J108,J108,1,C240823,,0026604030
J119,J119,1,C240823,,0026604030
J136,J136,1,C240823,,0026604030
J111,J111,1,C588986,,0022232051
J113,J113,1,C5200275,,N2534-6002-RB
J120,J120,1,C592598,,1-640445-3
J121,J121,1,C592598,,1-640445-3
J126,J126,1,C592598,,1-640445-3
J133,J133,1,C94118,,1-640456-0
J134,J134,1,C94118,,1-640456-0
J135,J135,1,C94118,,1-640456-0
L1,L1,1,C840531,,SRP1265A-100M
L2,L2,1,C840531,,SRP1265A-100M
LED1,LED1,1,C84256,,LTST-C170KRKT
LED2,LED2,1,C84256,,LTST-C170KRKT
LED3,LED3,1,C84256,,LTST-C170KRKT
LED4,LED4,1,C84256,,LTST-C170KRKT
LED5,LED5,1,C84256,,LTST-C170KRKT
LED6,LED6,1,C84256,,LTST-C170KRKT
LED7,LED7,1,C84256,,LTST-C170KRKT
Q9,Q9,1,C8512,,MMBT2222A-7-F
Q11,Q11,1,C8512,,MMBT2222A-7-F
Q13,Q13,1,C8512,,MMBT2222A-7-F
Q15,Q15,1,C8512,,MMBT2222A-7-F
Q17,Q17,1,C8512,,MMBT2222A-7-F
Q10,Q10,1,C9102,,BTA08-800CRG
Q12,Q12,1,C9102,,BTA08-800CRG
Q14,Q14,1,C9102,,BTA08-800CRG
Q16,Q16,1,C9102,,BTA08-800CRG
Q18,Q18,1,C9102,,BTA08-800CRG
Q20,Q20,1,C485687,,AOD66923
Q22,Q22,1,C485687,,AOD66923
Q24,Q24,1,C485687,,AOD66923
Q26,Q26,1,C485687,,AOD66923
Q28,Q28,1,C485687,,AOD66923
Q30,Q30,1,C485687,,AOD66923
Q32,Q32,1,C485687,,AOD66923
Q34,Q34,1,C485687,,AOD66923
Q36,Q36,1,C485687,,AOD66923
Q38,Q38,1,C485687,,AOD66923
Q40,Q40,1,C485687,,AOD66923
Q42,Q42,1,C485687,,AOD66923
Q44,Q44,1,C485687,,AOD66923
Q46,Q46,1,C485687,,AOD66923
Q48,Q48,1,C485687,,AOD66923
Q50,Q50,1,C485687,,AOD66923
Q52,Q52,1,C485687,,AOD66923
Q54,Q54,1,C485687,,AOD66923
Q56,Q56,1,C485687,,AOD66923
Q58,Q58,1,C485687,,AOD66923
Q64,Q64,1,C485687,,AOD66923
Q66,Q66,1,C485687,,AOD66923
Q68,Q68,1,C485687,,AOD66923
Q70,Q70,1,C485687,,AOD66923
Q76,Q76,1,C485687,,AOD66923
Q78,Q78,1,C485687,,AOD66923
Q80,Q80,1,C485687,,AOD66923
Q82,Q82,1,C485687,,AOD66923
Q83,Q83,1,C3007,,IRLR024NTRPBF
Q84,Q84,1,C3007,,IRLR024NTRPBF
Q85,Q85,1,C3007,,IRLR024NTRPBF
Q86,Q86,1,C3007,,IRLR024NTRPBF
Q87,Q87,1,C3007,,IRLR024NTRPBF
Q88,Q88,1,C3007,,IRLR024NTRPBF
Q89,Q89,1,C3007,,IRLR024NTRPBF
Q90,Q90,1,C3007,,IRLR024NTRPBF
Q91,Q91,1,C2624,,IRFR5305TRPBF
Q92,Q92,1,C2624,,IRFR5305TRPBF
Q93,Q93,1,C2624,,IRFR5305TRPBF
Q94,Q94,1,C2624,,IRFR5305TRPBF
Q95,Q95,1,C2624,,IRFR5305TRPBF
Q96,Q96,1,C2624,,IRFR5305TRPBF
Q97,Q97,1,C2624,,IRFR5305TRPBF
Q98,Q98,1,C2624,,IRFR5305TRPBF
R3,R3,1,C17414,,RC0805FR-0710KL
R4,R4,1,C17414,,RC0805FR-0710KL
R6,R6,1,C17414,,RC0805FR-0710KL
R9,R9,1,C17414,,RC0805FR-0710KL
R12,R12,1,C17414,,RC0805FR-0710KL
R15,R15,1,C17414,,RC0805FR-0710KL
R18,R18,1,C17414,,RC0805FR-0710KL
R21,R21,1,C17414,,RC0805FR-0710KL
R23,R23,1,C17414,,RC0805FR-0710KL
R27,R27,1,C17414,,RC0805FR-0710KL
R31,R31,1,C17414,,RC0805FR-0710KL
R35,R35,1,C17414,,RC0805FR-0710KL
R39,R39,1,C17414,,RC0805FR-0710KL
R43,R43,1,C17414,,RC0805FR-0710KL
R47,R47,1,C17414,,RC0805FR-0710KL
R51,R51,1,C17414,,RC0805FR-0710KL
R55,R55,1,C17414,,RC0805FR-0710KL
R59,R59,1,C17414,,RC0805FR-0710KL
R63,R63,1,C17414,,RC0805FR-0710KL
R67,R67,1,C17414,,RC0805FR-0710KL
R71,R71,1,C17414,,RC0805FR-0710KL
R75,R75,1,C17414,,RC0805FR-0710KL
R79,R79,1,C17414,,RC0805FR-0710KL
R83,R83,1,C17414,,RC0805FR-0710KL
R87,R87,1,C17414,,RC0805FR-0710KL
R91,R91,1,C17414,,RC0805FR-0710KL
R95,R95,1,C17414,,RC0805FR-0710KL
R99,R99,1,C17414,,RC0805FR-0710KL
R126,R126,1,C17414,,RC0805FR-0710KL
R128,R128,1,C17414,,RC0805FR-0710KL
R130,R130,1,C17414,,RC0805FR-0710KL
R132,R132,1,C17414,,RC0805FR-0710KL
R134,R134,1,C17414,,RC0805FR-0710KL
R136,R136,1,C17414,,RC0805FR-0710KL
R138,R138,1,C17414,,RC0805FR-0710KL
R140,R140,1,C17414,,RC0805FR-0710KL
R142,R142,1,C17414,,RC0805FR-0710KL
R143,R143,1,C17414,,RC0805FR-0710KL
R144,R144,1,C17414,,RC0805FR-0710KL
R145,R145,1,C17414,,RC0805FR-0710KL
R146,R146,1,C17414,,RC0805FR-0710KL
R147,R147,1,C17414,,RC0805FR-0710KL
R148,R148,1,C17414,,RC0805FR-0710KL
R149,R149,1,C17414,,RC0805FR-0710KL
R197,R197,1,C17414,,RC0805FR-0710KL
R301,R301,1,C17414,,RC0805FR-0710KL
R302,R302,1,C17414,,RC0805FR-0710KL
R303,R303,1,C17414,,RC0805FR-0710KL
R304,R304,1,C17414,,RC0805FR-0710KL
R305,R305,1,C17414,,RC0805FR-0710KL
R306,R306,1,C17414,,RC0805FR-0710KL
R307,R307,1,C17414,,RC0805FR-0710KL
R308,R308,1,C17414,,RC0805FR-0710KL
R7,R7,1,C1882619,,RC2512JK-0727RL
R10,R10,1,C1882619,,RC2512JK-0727RL
R13,R13,1,C1882619,,RC2512JK-0727RL
R16,R16,1,C1882619,,RC2512JK-0727RL
R19,R19,1,C1882619,,RC2512JK-0727RL
R8,R8,1,C17710,,RC0805FR-07470RL
R11,R11,1,C17710,,RC0805FR-07470RL
R14,R14,1,C17710,,RC0805FR-07470RL
R17,R17,1,C17710,,RC0805FR-07470RL
R20,R20,1,C17710,,RC0805FR-07470RL
R192,R192,1,C17710,,RC0805FR-07470RL
R22,R22,1,C17408,,RC0805FR-07100RL
R26,R26,1,C17408,,RC0805FR-07100RL
R30,R30,1,C17408,,RC0805FR-07100RL
R34,R34,1,C17408,,RC0805FR-07100RL
R38,R38,1,C17408,,RC0805FR-07100RL
R42,R42,1,C17408,,RC0805FR-07100RL
R46,R46,1,C17408,,RC0805FR-07100RL
R50,R50,1,C17408,,RC0805FR-07100RL
R54,R54,1,C17408,,RC0805FR-07100RL
R58,R58,1,C17408,,RC0805FR-07100RL
R62,R62,1,C17408,,RC0805FR-07100RL
R66,R66,1,C17408,,RC0805FR-07100RL
R70,R70,1,C17408,,RC0805FR-07100RL
R74,R74,1,C17408,,RC0805FR-07100RL
R78,R78,1,C17408,,RC0805FR-07100RL
R82,R82,1,C17408,,RC0805FR-07100RL
R86,R86,1,C17408,,RC0805FR-07100RL
R90,R90,1,C17408,,RC0805FR-07100RL
R94,R94,1,C17408,,RC0805FR-07100RL
R98,R98,1,C17408,,RC0805FR-07100RL
R127,R127,1,C17408,,RC0805FR-07100RL
R129,R129,1,C17408,,RC0805FR-07100RL
R131,R131,1,C17408,,RC0805FR-07100RL
R133,R133,1,C17408,,RC0805FR-07100RL
R135,R135,1,C17408,,RC0805FR-07100RL
R137,R137,1,C17408,,RC0805FR-07100RL
R139,R139,1,C17408,,RC0805FR-07100RL
R141,R141,1,C17408,,RC0805FR-07100RL
R155,R155,1,C17408,,RC0805FR-07100RL
R157,R157,1,C17408,,RC0805FR-07100RL
R159,R159,1,C17408,,RC0805FR-07100RL
R161,R161,1,C17408,,RC0805FR-07100RL
R165,R165,1,C17408,,RC0805FR-07100RL
R167,R167,1,C17408,,RC0805FR-07100RL
R169,R169,1,C17408,,RC0805FR-07100RL
R171,R171,1,C17408,,RC0805FR-07100RL
R150,R150,1,C875839,,PT2512FK-070R22L
R151,R151,1,C875839,,PT2512FK-070R22L
R152,R152,1,C875839,,PT2512FK-070R22L
R153,R153,1,C875839,,PT2512FK-070R22L
R172,R172,1,C875839,,PT2512FK-070R22L
R173,R173,1,C875839,,PT2512FK-070R22L
R174,R174,1,C875839,,PT2512FK-070R22L
R175,R175,1,C875839,,PT2512FK-070R22L
R154,R154,1,C17513,,RC0805FR-071KL
R156,R156,1,C17513,,RC0805FR-071KL
R158,R158,1,C17513,,RC0805FR-071KL
R160,R160,1,C17513,,RC0805FR-071KL
R162,R162,1,C17513,,RC0805FR-071KL
R164,R164,1,C17513,,RC0805FR-071KL
R166,R166,1,C17513,,RC0805FR-071KL
R168,R168,1,C17513,,RC0805FR-071KL
R170,R170,1,C17513,,RC0805FR-071KL
R177,R177,1,C17513,,RC0805FR-071KL
R179,R179,1,C17513,,RC0805FR-071KL
R181,R181,1,C17513,,RC0805FR-071KL
R183,R183,1,C17513,,RC0805FR-071KL
R185,R185,1,C17513,,RC0805FR-071KL
R187,R187,1,C17513,,RC0805FR-071KL
R189,R189,1,C17513,,RC0805FR-071KL
R191,R191,1,C17513,,RC0805FR-071KL
R193,R193,1,C17513,,RC0805FR-071KL
R176,R176,1,C4310,,RC0805FR-071K5L
R178,R178,1,C4310,,RC0805FR-071K5L
R180,R180,1,C4310,,RC0805FR-071K5L
R182,R182,1,C4310,,RC0805FR-071K5L
R184,R184,1,C4310,,RC0805FR-071K5L
R186,R186,1,C4310,,RC0805FR-071K5L
R188,R188,1,C4310,,RC0805FR-071K5L
R190,R190,1,C4310,,RC0805FR-071K5L
R194,R194,1,C4310,,RC0805FR-071K5L
R196,R196,1,C4310,,RC0805FR-071K5L
R250,R250,1,C4310,,RC0805FR-071K5L
R251,R251,1,C4310,,RC0805FR-071K5L
R253,R253,1,C4310,,RC0805FR-071K5L
R254,R254,1,C4310,,RC0805FR-071K5L
R255,R255,1,C4310,,RC0805FR-071K5L
R256,R256,1,C4310,,RC0805FR-071K5L
R206,R206,1,C17593,,RC0805FR-0727KL
R259,R259,1,C1882622,,RC2512JK-0715KL
R260,R260,1,C1882622,,RC2512JK-0715KL
R261,R261,1,C17427,,RC0805FR-07118KL
R262,R262,1,C273956,,RC0805FR-0729K4L
R263,R263,1,C17719,,RC0805FR-0749K9L
R269,R269,1,C17719,,RC0805FR-0749K9L
R264,R264,1,C865625,,RT0805BRD076K65L
R265,R265,1,C865367,,RT0805BRD072K1L
R266,R266,1,C17633,,RC0805FR-0733KL
R267,R267,1,C483008,,RC0805FR-07130KL
R268,R268,1,C4328,,RC0805FR-0720KL
R270,R270,1,C706223,,RT0805BRD0718KL
R271,R271,1,C865384,,RT0805BRD072KL
R272,R272,1,C17686,,RC0805FR-0742K2L
R310,R310,1,C17673,,RC0805FR-074K7L
R311,R311,1,C17673,,RC0805FR-074K7L
R312,R312,1,C17673,,RC0805FR-074K7L
R313,R313,1,C17673,,RC0805FR-074K7L
R314,R314,1,C17673,,RC0805FR-074K7L
R315,R315,1,C17673,,RC0805FR-074K7L
R316,R316,1,C17673,,RC0805FR-074K7L
R317,R317,1,C17673,,RC0805FR-074K7L
R318,R318,1,C17673,,RC0805FR-074K7L
R319,R319,1,C17673,,RC0805FR-074K7L
R320,R320,1,C17673,,RC0805FR-074K7L
R321,R321,1,C17673,,RC0805FR-074K7L
R322,R322,1,C17673,,RC0805FR-074K7L
R323,R323,1,C17673,,RC0805FR-074K7L
R324,R324,1,C17673,,RC0805FR-074K7L
R325,R325,1,C17673,,RC0805FR-074K7L
R326,R326,1,C705606,,WSL2512R0130FEA
R327,R327,1,C705608,,WSL2512R0330FEA
U1,U1,1,C2878759,,SN74HCT574NSR
U2,U2,1,C2878759,,SN74HCT574NSR
U3,U3,1,C2878759,,SN74HCT574NSR
U4,U4,1,C2878759,,SN74HCT574NSR
U5,U5,1,C2878759,,SN74HCT574NSR
U18,U18,1,C2878759,,SN74HCT574NSR
U6,U6,1,C7948,,LM339DR
U15,U15,1,C7948,,LM339DR
U16,U16,1,C7948,,LM339DR
U9,U9,1,C6772,,SN74HCT240NSR
U10,U10,1,C352961,,SN74HCT74DR
U11,U11,1,C352961,,SN74HCT74DR
U12,U12,1,C352961,,SN74HCT74DR
U13,U13,1,C352961,,SN74HCT74DR
U19,U19,1,C165895,,"TBD62083AFWG,EL"
U20,U20,1,C22397842,,TPS552872QWRYQRQ1
U21,U21,1,C22397842,,TPS552872QWRYQRQ1
W1,W1,1,C189505,,RC2512JK-070RL
HS7020,Q10 Q12 Q14 Q16 Q18,5,HS7020,,7020BG
HS6224,BR3,1,HS6224,,6223BG
HS5772,D101 D102 D103 D104,4,HS5772,,577202B00000G
M3X8,D101 D102 D103 D104,4,M3X8,,MPMS 003 0008 PH
M3X12,Q10 Q12 Q14 Q16 Q18,5,M3X12,,MPMS 003 0012 PH
M3NUT,D101 D102 D103 D104 Q10 Q12 Q14 Q16 Q18,9,M3NUT,,MHNZ 003
M4X20,BR3 H9,1,M4X20,,MPMS 004 0020 PH
M4NUT,BR3 H9,1,M4NUT,,MHNZ 004
THERMALPASTE,All ten heatsink interfaces,as needed,THERMALPASTE,,8616-3ML
H1,H1,0,H1,yes,
H2,H2,0,H2,yes,
H3,H3,0,H3,yes,
H4,H4,0,H4,yes,
H5,H5,0,H5,yes,
H6,H6,0,H6,yes,
H7,H7,0,H7,yes,
H8,H8,0,H8,yes,
TP1,TP1,0,TP1,yes,
TP2,TP2,0,TP2,yes,
TP3,TP3,0,TP3,yes,
TP5,TP5,0,TP5,yes,
TP6,TP6,0,TP6,yes,
TP7,TP7,0,TP7,yes,
TP8,TP8,0,TP8,yes,
TP9,TP9,0,TP9,yes,
R198,R198,0,R198,yes,
TP4,TP4,0,TP4,yes,
D35,D35,0,D35,yes,
Q3,Q3,0,Q3,yes,
R202,R202,0,R202,yes,
R209,R209,0,R209,yes,
RLY1,RLY1,0,RLY1,yes,
