35,Coin 1,1
35.2,Coin 1,0
36,Coin 1,1
36.2,Coin 1,0
37,Coin 1,1
37.2,Coin 1,0
38,Coin 1,1
38.2,Coin 1,0
39,Coin 1,1
39.2,Coin 1,0
45,P1 Start,1
46.0,P1 Start,0
55,INP42,1
55.2,INP42,0
55.3,L Flipper Button,1
55.5,L Flipper Button,0
55.6,R Flipper Button,1
55.800000000000004,R Flipper Button,0
57,INP51,1
57.2,INP51,0
57.3,L Flipper Button,1
57.5,L Flipper Button,0
57.6,R Flipper Button,1
57.800000000000004,R Flipper Button,0
59,INP52,1
59.2,INP52,0
59.3,L Flipper Button,1
59.5,L Flipper Button,0
59.6,R Flipper Button,1
59.800000000000004,R Flipper Button,0
61,INP71,1
61.2,INP71,0
61.3,L Flipper Button,1
61.5,L Flipper Button,0
61.6,R Flipper Button,1
61.800000000000004,R Flipper Button,0
63,INP72,1
63.2,INP72,0
63.3,L Flipper Button,1
63.5,L Flipper Button,0
63.6,R Flipper Button,1
63.800000000000004,R Flipper Button,0
65,INP31,1
65.2,INP31,0
65.3,L Flipper Button,1
65.5,L Flipper Button,0
65.6,R Flipper Button,1
65.8,R Flipper Button,0
67,INP32,1
67.2,INP32,0
67.3,L Flipper Button,1
67.5,L Flipper Button,0
67.6,R Flipper Button,1
67.8,R Flipper Button,0
69,INP41,1
69.2,INP41,0
69.3,L Flipper Button,1
69.5,L Flipper Button,0
69.6,R Flipper Button,1
69.8,R Flipper Button,0
71,INP42,1
71.2,INP42,0
71.3,L Flipper Button,1
71.5,L Flipper Button,0
71.6,R Flipper Button,1
71.8,R Flipper Button,0
73,INP51,1
73.2,INP51,0
73.3,L Flipper Button,1
73.5,L Flipper Button,0
73.6,R Flipper Button,1
73.8,R Flipper Button,0
75,INP52,1
75.2,INP52,0
75.3,L Flipper Button,1
75.5,L Flipper Button,0
75.6,R Flipper Button,1
75.8,R Flipper Button,0
77,INP71,1
77.2,INP71,0
77.3,L Flipper Button,1
77.5,L Flipper Button,0
77.6,R Flipper Button,1
77.8,R Flipper Button,0
79,INP72,1
79.2,INP72,0
79.3,L Flipper Button,1
79.5,L Flipper Button,0
79.6,R Flipper Button,1
79.8,R Flipper Button,0
81,INP31,1
81.2,INP31,0
81.3,L Flipper Button,1
81.5,L Flipper Button,0
81.6,R Flipper Button,1
81.8,R Flipper Button,0
83,INP32,1
83.2,INP32,0
83.3,L Flipper Button,1
83.5,L Flipper Button,0
83.6,R Flipper Button,1
83.8,R Flipper Button,0
85,INP41,1
85.2,INP41,0
85.3,L Flipper Button,1
85.5,L Flipper Button,0
85.6,R Flipper Button,1
85.8,R Flipper Button,0
87,INP42,1
87.2,INP42,0
87.3,L Flipper Button,1
87.5,L Flipper Button,0
87.6,R Flipper Button,1
87.8,R Flipper Button,0
89,INP51,1
89.2,INP51,0
89.3,L Flipper Button,1
89.5,L Flipper Button,0
89.6,R Flipper Button,1
89.8,R Flipper Button,0
91,INP52,1
91.2,INP52,0
91.3,L Flipper Button,1
91.5,L Flipper Button,0
91.6,R Flipper Button,1
91.8,R Flipper Button,0
93,INP71,1
93.2,INP71,0
93.3,L Flipper Button,1
93.5,L Flipper Button,0
93.6,R Flipper Button,1
93.8,R Flipper Button,0
95,INP72,1
95.2,INP72,0
95.3,L Flipper Button,1
95.5,L Flipper Button,0
95.6,R Flipper Button,1
95.8,R Flipper Button,0
97,INP31,1
97.2,INP31,0
97.3,L Flipper Button,1
97.5,L Flipper Button,0
97.6,R Flipper Button,1
97.8,R Flipper Button,0
99,INP32,1
99.2,INP32,0
99.3,L Flipper Button,1
99.5,L Flipper Button,0
99.6,R Flipper Button,1
99.8,R Flipper Button,0
101,INP41,1
101.2,INP41,0
101.3,L Flipper Button,1
101.5,L Flipper Button,0
101.6,R Flipper Button,1
101.8,R Flipper Button,0
103,INP42,1
103.2,INP42,0
103.3,L Flipper Button,1
103.5,L Flipper Button,0
103.6,R Flipper Button,1
103.8,R Flipper Button,0
105,INP51,1
105.2,INP51,0
105.3,L Flipper Button,1
105.5,L Flipper Button,0
105.6,R Flipper Button,1
105.8,R Flipper Button,0
107,INP52,1
107.2,INP52,0
107.3,L Flipper Button,1
107.5,L Flipper Button,0
107.6,R Flipper Button,1
107.8,R Flipper Button,0
109,INP71,1
109.2,INP71,0
109.3,L Flipper Button,1
109.5,L Flipper Button,0
109.6,R Flipper Button,1
109.8,R Flipper Button,0
111,INP72,1
111.2,INP72,0
111.3,L Flipper Button,1
111.5,L Flipper Button,0
111.6,R Flipper Button,1
111.8,R Flipper Button,0
113,INP31,1
113.2,INP31,0
113.3,L Flipper Button,1
113.5,L Flipper Button,0
113.6,R Flipper Button,1
113.8,R Flipper Button,0
115,INP32,1
115.2,INP32,0
115.3,L Flipper Button,1
115.5,L Flipper Button,0
115.6,R Flipper Button,1
115.8,R Flipper Button,0
117,INP41,1
117.2,INP41,0
117.3,L Flipper Button,1
117.5,L Flipper Button,0
117.6,R Flipper Button,1
117.8,R Flipper Button,0
119,INP42,1
119.2,INP42,0
119.3,L Flipper Button,1
119.5,L Flipper Button,0
119.6,R Flipper Button,1
119.8,R Flipper Button,0
180,Tilt,1
180.6,Tilt,0
210,Slam Tilt,1
210.5,Slam Tilt,0
